Model,MAE,RMSE,R2 Score
Random Forest,111.261553030303,199.27908272506275,0.9974114025624743
XGBoost,134.54879760742188,226.969083453562,0.9966420531272888
AdaBoost,927.3843830078002,1111.3721380952065,0.9194880962798297
Gradient Boosting,165.5471887120342,226.94603305536853,0.9966427299390677
